id,score,metric_name
memory_kv_0,1.0,accuracy
memory_kv_1,0.0,accuracy
memory_kv_2,1.0,accuracy
memory_kv_3,0.0,accuracy
memory_kv_4,0.0,accuracy
memory_kv_5,0.0,accuracy
memory_kv_6,1.0,accuracy
memory_kv_7,1.0,accuracy
memory_kv_8,0.0,accuracy
memory_kv_9,1.0,accuracy
memory_kv_10,0.0,accuracy
memory_kv_11,0.0,accuracy
memory_kv_12,1.0,accuracy
memory_kv_13,1.0,accuracy
memory_kv_14,1.0,accuracy
memory_kv_15,1.0,accuracy
memory_kv_16,1.0,accuracy
memory_kv_17,1.0,accuracy
memory_kv_18,0.0,accuracy
memory_kv_19,1.0,accuracy
memory_kv_20,1.0,accuracy
memory_kv_21,1.0,accuracy
memory_kv_22,1.0,accuracy
memory_kv_23,0.0,accuracy
memory_kv_24,1.0,accuracy
memory_kv_25,0.0,accuracy
memory_kv_26,1.0,accuracy
memory_kv_27,0.0,accuracy
memory_kv_28,0.0,accuracy
memory_kv_29,0.0,accuracy
memory_kv_30,1.0,accuracy
memory_kv_31,1.0,accuracy
memory_kv_32,0.0,accuracy
memory_kv_33,1.0,accuracy
memory_kv_34,1.0,accuracy
memory_kv_35,1.0,accuracy
memory_kv_36,1.0,accuracy
memory_kv_37,1.0,accuracy
memory_kv_38,0.0,accuracy
memory_kv_39,0.0,accuracy
memory_kv_40,1.0,accuracy
memory_kv_41,1.0,accuracy
memory_kv_42,1.0,accuracy
memory_kv_43,1.0,accuracy
memory_kv_44,1.0,accuracy
memory_kv_45,0.0,accuracy
memory_kv_46,1.0,accuracy
memory_kv_47,0.0,accuracy
memory_kv_48,1.0,accuracy
memory_kv_49,0.0,accuracy
memory_kv_50,1.0,accuracy
memory_kv_51,1.0,accuracy
memory_kv_52,1.0,accuracy
memory_kv_53,1.0,accuracy
memory_kv_54,1.0,accuracy
memory_kv_55,1.0,accuracy
memory_kv_56,1.0,accuracy
memory_kv_57,1.0,accuracy
memory_kv_58,0.0,accuracy
memory_kv_59,1.0,accuracy
memory_kv_60,1.0,accuracy
memory_kv_61,1.0,accuracy
memory_kv_62,0.0,accuracy
memory_kv_63,0.0,accuracy
memory_kv_64,0.0,accuracy
memory_kv_65,1.0,accuracy
memory_kv_66,1.0,accuracy
memory_kv_67,1.0,accuracy
memory_kv_68,1.0,accuracy
memory_kv_69,0.0,accuracy
memory_kv_70,1.0,accuracy
memory_kv_71,0.0,accuracy
memory_kv_72,0.0,accuracy
memory_kv_73,0.0,accuracy
memory_kv_74,1.0,accuracy
memory_kv_75,1.0,accuracy
memory_kv_76,1.0,accuracy
memory_kv_77,1.0,accuracy
memory_kv_78,1.0,accuracy
memory_kv_79,0.0,accuracy
memory_kv_80,1.0,accuracy
memory_kv_81,0.0,accuracy
memory_kv_82,1.0,accuracy
memory_kv_83,1.0,accuracy
memory_kv_84,0.0,accuracy
memory_kv_85,1.0,accuracy
memory_kv_86,1.0,accuracy
memory_kv_87,0.0,accuracy
memory_kv_88,0.0,accuracy
memory_kv_89,1.0,accuracy
memory_kv_90,0.0,accuracy
memory_kv_91,1.0,accuracy
memory_kv_92,0.0,accuracy
memory_kv_93,1.0,accuracy
memory_kv_94,0.0,accuracy
memory_kv_95,1.0,accuracy
memory_kv_96,0.0,accuracy
memory_kv_97,1.0,accuracy
memory_kv_98,1.0,accuracy
memory_kv_99,1.0,accuracy
memory_kv_100,1.0,accuracy
memory_kv_101,1.0,accuracy
memory_kv_102,1.0,accuracy
memory_kv_103,1.0,accuracy
memory_kv_104,0.0,accuracy
memory_kv_105,1.0,accuracy
memory_kv_106,1.0,accuracy
memory_kv_107,1.0,accuracy
memory_kv_108,1.0,accuracy
memory_kv_109,0.0,accuracy
memory_kv_110,0.0,accuracy
memory_kv_111,1.0,accuracy
memory_kv_112,1.0,accuracy
memory_kv_113,0.0,accuracy
memory_kv_114,1.0,accuracy
memory_kv_115,1.0,accuracy
memory_kv_116,1.0,accuracy
memory_kv_117,1.0,accuracy
memory_kv_118,1.0,accuracy
memory_kv_119,1.0,accuracy
memory_kv_120,0.0,accuracy
memory_kv_121,1.0,accuracy
memory_kv_122,1.0,accuracy
memory_kv_123,0.0,accuracy
memory_kv_124,1.0,accuracy
memory_kv_125,1.0,accuracy
memory_kv_126,0.0,accuracy
memory_kv_127,0.0,accuracy
memory_kv_128,1.0,accuracy
memory_kv_129,0.0,accuracy
memory_kv_130,1.0,accuracy
memory_kv_131,1.0,accuracy
memory_kv_132,1.0,accuracy
memory_kv_133,0.0,accuracy
memory_kv_134,1.0,accuracy
memory_kv_135,1.0,accuracy
memory_kv_136,1.0,accuracy
memory_kv_137,1.0,accuracy
memory_kv_138,1.0,accuracy
memory_kv_139,1.0,accuracy
memory_kv_140,1.0,accuracy
memory_kv_141,1.0,accuracy
memory_kv_142,1.0,accuracy
memory_kv_143,0.0,accuracy
memory_kv_144,1.0,accuracy
memory_kv_145,1.0,accuracy
memory_kv_146,1.0,accuracy
memory_kv_147,0.0,accuracy
memory_kv_148,1.0,accuracy
memory_kv_149,1.0,accuracy
memory_kv_150,1.0,accuracy
memory_kv_151,1.0,accuracy
memory_kv_152,1.0,accuracy
memory_kv_153,0.0,accuracy
memory_kv_154,1.0,accuracy
