idx,score,metric_name
0,100,edit_similarity
1,91,edit_similarity
2,86,edit_similarity
3,95,edit_similarity
4,93,edit_similarity
5,77,edit_similarity
6,92,edit_similarity
7,84,edit_similarity
8,95,edit_similarity
9,63,edit_similarity
10,69,edit_similarity
11,20,edit_similarity
12,85,edit_similarity
13,70,edit_similarity
14,48,edit_similarity
15,28,edit_similarity
16,46,edit_similarity
17,83,edit_similarity
18,86,edit_similarity
19,95,edit_similarity
20,27,edit_similarity
21,93,edit_similarity
22,12,edit_similarity
23,94,edit_similarity
24,88,edit_similarity
25,95,edit_similarity
26,32,edit_similarity
27,89,edit_similarity
28,95,edit_similarity
29,0,edit_similarity
30,93,edit_similarity
31,88,edit_similarity
32,84,edit_similarity
33,91,edit_similarity
34,31,edit_similarity
35,34,edit_similarity
36,96,edit_similarity
37,90,edit_similarity
38,44,edit_similarity
39,33,edit_similarity
40,90,edit_similarity
41,53,edit_similarity
42,30,edit_similarity
43,50,edit_similarity
44,87,edit_similarity
45,89,edit_similarity
46,95,edit_similarity
47,15,edit_similarity
48,44,edit_similarity
49,55,edit_similarity
50,93,edit_similarity
51,15,edit_similarity
52,91,edit_similarity
53,23,edit_similarity
54,98,edit_similarity
55,77,edit_similarity
56,23,edit_similarity
57,45,edit_similarity
58,56,edit_similarity
59,92,edit_similarity
60,45,edit_similarity
61,88,edit_similarity
62,67,edit_similarity
63,91,edit_similarity
64,70,edit_similarity
65,96,edit_similarity
66,20,edit_similarity
67,88,edit_similarity
68,56,edit_similarity
69,41,edit_similarity
70,87,edit_similarity
71,79,edit_similarity
72,81,edit_similarity
73,96,edit_similarity
74,20,edit_similarity
75,95,edit_similarity
76,29,edit_similarity
77,82,edit_similarity
78,95,edit_similarity
79,89,edit_similarity
80,88,edit_similarity
81,85,edit_similarity
82,22,edit_similarity
83,68,edit_similarity
84,65,edit_similarity
85,93,edit_similarity
86,70,edit_similarity
87,36,edit_similarity
88,33,edit_similarity
89,37,edit_similarity
90,85,edit_similarity
91,43,edit_similarity
92,97,edit_similarity
93,81,edit_similarity
94,93,edit_similarity
95,52,edit_similarity
96,29,edit_similarity
97,61,edit_similarity
98,70,edit_similarity
99,30,edit_similarity
100,11,edit_similarity
101,95,edit_similarity
102,27,edit_similarity
103,84,edit_similarity
104,77,edit_similarity
105,65,edit_similarity
106,58,edit_similarity
107,21,edit_similarity
108,94,edit_similarity
109,13,edit_similarity
110,95,edit_similarity
111,70,edit_similarity
112,87,edit_similarity
113,95,edit_similarity
114,70,edit_similarity
115,95,edit_similarity
116,35,edit_similarity
117,69,edit_similarity
118,19,edit_similarity
119,26,edit_similarity
120,95,edit_similarity
121,47,edit_similarity
122,43,edit_similarity
123,92,edit_similarity
124,31,edit_similarity
125,97,edit_similarity
126,22,edit_similarity
127,100,edit_similarity
128,40,edit_similarity
129,40,edit_similarity
130,87,edit_similarity
131,89,edit_similarity
132,49,edit_similarity
133,27,edit_similarity
134,30,edit_similarity
135,52,edit_similarity
136,89,edit_similarity
137,30,edit_similarity
138,44,edit_similarity
139,88,edit_similarity
140,92,edit_similarity
141,88,edit_similarity
142,88,edit_similarity
143,76,edit_similarity
144,96,edit_similarity
145,16,edit_similarity
146,78,edit_similarity
147,84,edit_similarity
148,93,edit_similarity
149,73,edit_similarity
150,87,edit_similarity
151,43,edit_similarity
152,98,edit_similarity
153,96,edit_similarity
154,38,edit_similarity
155,86,edit_similarity
156,55,edit_similarity
157,77,edit_similarity
158,88,edit_similarity
159,94,edit_similarity
160,84,edit_similarity
161,95,edit_similarity
162,99,edit_similarity
163,88,edit_similarity
164,35,edit_similarity
165,72,edit_similarity
166,9,edit_similarity
167,87,edit_similarity
168,42,edit_similarity
169,21,edit_similarity
170,78,edit_similarity
171,6,edit_similarity
172,34,edit_similarity
173,32,edit_similarity
174,30,edit_similarity
175,92,edit_similarity
176,87,edit_similarity
177,16,edit_similarity
178,97,edit_similarity
179,67,edit_similarity
180,83,edit_similarity
181,83,edit_similarity
182,77,edit_similarity
183,23,edit_similarity
184,80,edit_similarity
185,30,edit_similarity
186,89,edit_similarity
187,96,edit_similarity
188,96,edit_similarity
189,69,edit_similarity
190,64,edit_similarity
191,100,edit_similarity
192,94,edit_similarity
193,87,edit_similarity
194,94,edit_similarity
195,87,edit_similarity
196,91,edit_similarity
197,100,edit_similarity
198,88,edit_similarity
199,32,edit_similarity
200,97,edit_similarity
201,92,edit_similarity
202,61,edit_similarity
203,27,edit_similarity
204,43,edit_similarity
205,93,edit_similarity
206,24,edit_similarity
207,76,edit_similarity
208,62,edit_similarity
209,96,edit_similarity
210,90,edit_similarity
211,49,edit_similarity
212,90,edit_similarity
213,27,edit_similarity
214,41,edit_similarity
215,18,edit_similarity
216,33,edit_similarity
217,43,edit_similarity
218,22,edit_similarity
219,77,edit_similarity
220,91,edit_similarity
221,94,edit_similarity
222,96,edit_similarity
223,48,edit_similarity
224,70,edit_similarity
225,70,edit_similarity
226,24,edit_similarity
227,57,edit_similarity
228,92,edit_similarity
229,29,edit_similarity
230,29,edit_similarity
231,52,edit_similarity
232,80,edit_similarity
233,89,edit_similarity
234,91,edit_similarity
235,70,edit_similarity
236,67,edit_similarity
237,12,edit_similarity
238,55,edit_similarity
239,97,edit_similarity
240,86,edit_similarity
241,76,edit_similarity
242,70,edit_similarity
243,63,edit_similarity
244,79,edit_similarity
245,74,edit_similarity
246,7,edit_similarity
247,34,edit_similarity
248,77,edit_similarity
249,88,edit_similarity
250,93,edit_similarity
251,91,edit_similarity
252,89,edit_similarity
253,33,edit_similarity
254,89,edit_similarity
255,88,edit_similarity
256,27,edit_similarity
257,61,edit_similarity
258,51,edit_similarity
259,78,edit_similarity
260,85,edit_similarity
261,90,edit_similarity
262,93,edit_similarity
263,95,edit_similarity
264,90,edit_similarity
265,94,edit_similarity
266,60,edit_similarity
267,96,edit_similarity
268,17,edit_similarity
269,97,edit_similarity
270,84,edit_similarity
271,89,edit_similarity
272,90,edit_similarity
273,91,edit_similarity
274,76,edit_similarity
275,44,edit_similarity
276,84,edit_similarity
277,95,edit_similarity
278,90,edit_similarity
279,64,edit_similarity
280,92,edit_similarity
281,41,edit_similarity
282,97,edit_similarity
283,74,edit_similarity
284,95,edit_similarity
285,92,edit_similarity
286,93,edit_similarity
287,92,edit_similarity
288,99,edit_similarity
289,90,edit_similarity
290,37,edit_similarity
291,90,edit_similarity
292,75,edit_similarity
293,74,edit_similarity
294,34,edit_similarity
295,27,edit_similarity
296,74,edit_similarity
297,12,edit_similarity
298,30,edit_similarity
299,95,edit_similarity
300,6,edit_similarity
301,84,edit_similarity
302,95,edit_similarity
303,57,edit_similarity
304,95,edit_similarity
305,84,edit_similarity
306,55,edit_similarity
